,subj,condition,yvalue,decision-maker-ID,colour
65,resnet18_l2_eps0_1,3.0,0.55625,resnet18_l2_eps0_1,
66,resnet18_l2_eps0_1,1.5,0.35,resnet18_l2_eps0_1,
67,resnet18_l2_eps0_1,1.0,0.2125,resnet18_l2_eps0_1,
68,resnet18_l2_eps0_1,0.7,0.13125,resnet18_l2_eps0_1,
69,resnet18_l2_eps0_1,0.55,0.1125,resnet18_l2_eps0_1,
70,resnet18_l2_eps0_1,0.45,0.13125,resnet18_l2_eps0_1,
71,resnet18_l2_eps0_1,0.4,0.09375,resnet18_l2_eps0_1,
72,resnet18_l2_eps0_25,inf,0.95625,resnet18_l2_eps0_25,
73,resnet18_l2_eps0_25,3.0,0.49375,resnet18_l2_eps0_25,
74,resnet18_l2_eps0_25,1.5,0.25,resnet18_l2_eps0_25,
75,resnet18_l2_eps0_25,1.0,0.225,resnet18_l2_eps0_25,
76,resnet18_l2_eps0_25,0.7,0.14375,resnet18_l2_eps0_25,
77,resnet18_l2_eps0_25,0.55,0.0875,resnet18_l2_eps0_25,
78,resnet18_l2_eps0_25,0.45,0.0875,resnet18_l2_eps0_25,
79,resnet18_l2_eps0_25,0.4,0.06875,resnet18_l2_eps0_25,
80,resnet18_l2_eps0_5,inf,0.9375,resnet18_l2_eps0_5,
81,resnet18_l2_eps0_5,3.0,0.44375,resnet18_l2_eps0_5,
82,resnet18_l2_eps0_5,1.5,0.2875,resnet18_l2_eps0_5,
83,resnet18_l2_eps0_5,1.0,0.21875,resnet18_l2_eps0_5,
84,resnet18_l2_eps0_5,0.7,0.125,resnet18_l2_eps0_5,
85,resnet18_l2_eps0_5,0.55,0.1125,resnet18_l2_eps0_5,
86,resnet18_l2_eps0_5,0.45,0.08125,resnet18_l2_eps0_5,
87,resnet18_l2_eps0_5,0.4,0.0625,resnet18_l2_eps0_5,
88,resnet18_l2_eps1,inf,0.925,resnet18_l2_eps1,
89,resnet18_l2_eps1,3.0,0.4375,resnet18_l2_eps1,
90,resnet18_l2_eps1,1.5,0.24375,resnet18_l2_eps1,
91,resnet18_l2_eps1,1.0,0.18125,resnet18_l2_eps1,
92,resnet18_l2_eps1,0.7,0.10625,resnet18_l2_eps1,
93,resnet18_l2_eps1,0.55,0.1125,resnet18_l2_eps1,
94,resnet18_l2_eps1,0.45,0.1,resnet18_l2_eps1,
95,resnet18_l2_eps1,0.4,0.0625,resnet18_l2_eps1,
96,resnet18_l2_eps3,inf,0.89375,resnet18_l2_eps3,
97,resnet18_l2_eps3,3.0,0.35,resnet18_l2_eps3,
98,resnet18_l2_eps3,1.5,0.21875,resnet18_l2_eps3,
99,resnet18_l2_eps3,1.0,0.15,resnet18_l2_eps3,
100,resnet18_l2_eps3,0.7,0.09375,resnet18_l2_eps3,
101,resnet18_l2_eps3,0.55,0.09375,resnet18_l2_eps3,
102,resnet18_l2_eps3,0.45,0.06875,resnet18_l2_eps3,
103,resnet18_l2_eps3,0.4,0.0625,resnet18_l2_eps3,
104,resnet18_l2_eps5,inf,0.84375,resnet18_l2_eps5,
105,resnet18_l2_eps5,3.0,0.33125,resnet18_l2_eps5,
106,resnet18_l2_eps5,1.5,0.2,resnet18_l2_eps5,
107,resnet18_l2_eps5,1.0,0.15,resnet18_l2_eps5,
108,resnet18_l2_eps5,0.7,0.1,resnet18_l2_eps5,
109,resnet18_l2_eps5,0.55,0.0625,resnet18_l2_eps5,
110,resnet18_l2_eps5,0.45,0.08125,resnet18_l2_eps5,
111,resnet18_l2_eps5,0.4,0.0625,resnet18_l2_eps5,
112,resnet50_l2_eps0,inf,0.99375,resnet50_l2_eps0,
113,resnet50_l2_eps0,3.0,0.7,resnet50_l2_eps0,
114,resnet50_l2_eps0,1.5,0.40625,resnet50_l2_eps0,
115,resnet50_l2_eps0,1.0,0.2375,resnet50_l2_eps0,
116,resnet50_l2_eps0,0.7,0.1,resnet50_l2_eps0,
117,resnet50_l2_eps0,0.55,0.1,resnet50_l2_eps0,
118,resnet50_l2_eps0,0.45,0.075,resnet50_l2_eps0,
119,resnet50_l2_eps0,0.4,0.08125,resnet50_l2_eps0,
120,resnet50_l2_eps0_01,inf,0.9875,resnet50_l2_eps0_01,
121,resnet50_l2_eps0_01,3.0,0.71875,resnet50_l2_eps0_01,
122,resnet50_l2_eps0_01,1.5,0.4625,resnet50_l2_eps0_01,
123,resnet50_l2_eps0_01,1.0,0.2625,resnet50_l2_eps0_01,
124,resnet50_l2_eps0_01,0.7,0.14375,resnet50_l2_eps0_01,
125,resnet50_l2_eps0_01,0.55,0.09375,resnet50_l2_eps0_01,
126,resnet50_l2_eps0_01,0.45,0.05625,resnet50_l2_eps0_01,
127,resnet50_l2_eps0_01,0.4,0.05625,resnet50_l2_eps0_01,
128,resnet50_l2_eps0_03,inf,1.0,resnet50_l2_eps0_03,
129,resnet50_l2_eps0_03,3.0,0.65,resnet50_l2_eps0_03,
130,resnet50_l2_eps0_03,1.5,0.31875,resnet50_l2_eps0_03,
131,resnet50_l2_eps0_03,1.0,0.20625,resnet50_l2_eps0_03,
132,resnet50_l2_eps0_03,0.7,0.13125,resnet50_l2_eps0_03,
133,resnet50_l2_eps0_03,0.55,0.125,resnet50_l2_eps0_03,
134,resnet50_l2_eps0_03,0.45,0.075,resnet50_l2_eps0_03,
135,resnet50_l2_eps0_03,0.4,0.04375,resnet50_l2_eps0_03,
136,resnet50_l2_eps0_05,inf,0.975,resnet50_l2_eps0_05,
137,resnet50_l2_eps0_05,3.0,0.63125,resnet50_l2_eps0_05,
138,resnet50_l2_eps0_05,1.5,0.33125,resnet50_l2_eps0_05,
139,resnet50_l2_eps0_05,1.0,0.1875,resnet50_l2_eps0_05,
140,resnet50_l2_eps0_05,0.7,0.125,resnet50_l2_eps0_05,
141,resnet50_l2_eps0_05,0.55,0.10625,resnet50_l2_eps0_05,
142,resnet50_l2_eps0_05,0.45,0.0875,resnet50_l2_eps0_05,
143,resnet50_l2_eps0_05,0.4,0.06875,resnet50_l2_eps0_05,
144,resnet50_l2_eps0_1,inf,0.9875,resnet50_l2_eps0_1,
145,resnet50_l2_eps0_1,3.0,0.56875,resnet50_l2_eps0_1,
146,resnet50_l2_eps0_1,1.5,0.30625,resnet50_l2_eps0_1,
147,resnet50_l2_eps0_1,1.0,0.125,resnet50_l2_eps0_1,
148,resnet50_l2_eps0_1,0.7,0.0875,resnet50_l2_eps0_1,
149,resnet50_l2_eps0_1,0.55,0.075,resnet50_l2_eps0_1,
150,resnet50_l2_eps0_1,0.45,0.0375,resnet50_l2_eps0_1,
151,resnet50_l2_eps0_1,0.4,0.05,resnet50_l2_eps0_1,
152,resnet50_l2_eps0_25,inf,0.99375,resnet50_l2_eps0_25,
153,resnet50_l2_eps0_25,3.0,0.5625,resnet50_l2_eps0_25,
154,resnet50_l2_eps0_25,1.5,0.30625,resnet50_l2_eps0_25,
155,resnet50_l2_eps0_25,1.0,0.2,resnet50_l2_eps0_25,
156,resnet50_l2_eps0_25,0.7,0.1125,resnet50_l2_eps0_25,
157,resnet50_l2_eps0_25,0.55,0.10625,resnet50_l2_eps0_25,
158,resnet50_l2_eps0_25,0.45,0.0875,resnet50_l2_eps0_25,
159,resnet50_l2_eps0_25,0.4,0.06875,resnet50_l2_eps0_25,
160,resnet50_l2_eps0_5,inf,0.98125,resnet50_l2_eps0_5,
161,resnet50_l2_eps0_5,3.0,0.50625,resnet50_l2_eps0_5,
162,resnet50_l2_eps0_5,1.5,0.24375,resnet50_l2_eps0_5,
163,resnet50_l2_eps0_5,1.0,0.1875,resnet50_l2_eps0_5,
164,resnet50_l2_eps0_5,0.7,0.15,resnet50_l2_eps0_5,
165,resnet50_l2_eps0_5,0.55,0.1,resnet50_l2_eps0_5,
166,resnet50_l2_eps0_5,0.45,0.08125,resnet50_l2_eps0_5,
167,resnet50_l2_eps0_5,0.4,0.0625,resnet50_l2_eps0_5,
168,resnet50_l2_eps1,inf,0.95625,resnet50_l2_eps1,
169,resnet50_l2_eps1,3.0,0.4625,resnet50_l2_eps1,
170,resnet50_l2_eps1,1.5,0.325,resnet50_l2_eps1,
171,resnet50_l2_eps1,1.0,0.175,resnet50_l2_eps1,
172,resnet50_l2_eps1,0.7,0.1125,resnet50_l2_eps1,
173,resnet50_l2_eps1,0.55,0.08125,resnet50_l2_eps1,
174,resnet50_l2_eps1,0.45,0.125,resnet50_l2_eps1,
175,resnet50_l2_eps1,0.4,0.0625,resnet50_l2_eps1,
176,resnet50_l2_eps3,inf,0.9375,resnet50_l2_eps3,
177,resnet50_l2_eps3,3.0,0.3875,resnet50_l2_eps3,
178,resnet50_l2_eps3,1.5,0.24375,resnet50_l2_eps3,
179,resnet50_l2_eps3,1.0,0.16875,resnet50_l2_eps3,
180,resnet50_l2_eps3,0.7,0.10625,resnet50_l2_eps3,
181,resnet50_l2_eps3,0.55,0.10625,resnet50_l2_eps3,
182,resnet50_l2_eps3,0.45,0.08125,resnet50_l2_eps3,
183,resnet50_l2_eps3,0.4,0.0625,resnet50_l2_eps3,
184,resnet50_l2_eps5,inf,0.8875,resnet50_l2_eps5,
185,resnet50_l2_eps5,3.0,0.3875,resnet50_l2_eps5,
186,resnet50_l2_eps5,1.5,0.2625,resnet50_l2_eps5,
187,resnet50_l2_eps5,1.0,0.23125,resnet50_l2_eps5,
188,resnet50_l2_eps5,0.7,0.13125,resnet50_l2_eps5,
189,resnet50_l2_eps5,0.55,0.08125,resnet50_l2_eps5,
190,resnet50_l2_eps5,0.45,0.0625,resnet50_l2_eps5,
191,resnet50_l2_eps5,0.4,0.0625,resnet50_l2_eps5,
192,wide_resnet50_2_l2_eps0,inf,0.9875,wide_resnet50_2_l2_eps0,
193,wide_resnet50_2_l2_eps0,3.0,0.725,wide_resnet50_2_l2_eps0,
194,wide_resnet50_2_l2_eps0,1.5,0.4125,wide_resnet50_2_l2_eps0,
195,wide_resnet50_2_l2_eps0,1.0,0.23125,wide_resnet50_2_l2_eps0,
196,wide_resnet50_2_l2_eps0,0.7,0.10625,wide_resnet50_2_l2_eps0,
197,wide_resnet50_2_l2_eps0,0.55,0.1375,wide_resnet50_2_l2_eps0,
198,wide_resnet50_2_l2_eps0,0.45,0.1125,wide_resnet50_2_l2_eps0,
199,wide_resnet50_2_l2_eps0,0.4,0.08125,wide_resnet50_2_l2_eps0,
200,wide_resnet50_2_l2_eps0_01,inf,0.9875,wide_resnet50_2_l2_eps0_01,
201,wide_resnet50_2_l2_eps0_01,3.0,0.7125,wide_resnet50_2_l2_eps0_01,
202,wide_resnet50_2_l2_eps0_01,1.5,0.3375,wide_resnet50_2_l2_eps0_01,
203,wide_resnet50_2_l2_eps0_01,1.0,0.2125,wide_resnet50_2_l2_eps0_01,
204,wide_resnet50_2_l2_eps0_01,0.7,0.09375,wide_resnet50_2_l2_eps0_01,
205,wide_resnet50_2_l2_eps0_01,0.55,0.0875,wide_resnet50_2_l2_eps0_01,
206,wide_resnet50_2_l2_eps0_01,0.45,0.0875,wide_resnet50_2_l2_eps0_01,
207,wide_resnet50_2_l2_eps0_01,0.4,0.0625,wide_resnet50_2_l2_eps0_01,
208,wide_resnet50_2_l2_eps0_03,inf,0.9875,wide_resnet50_2_l2_eps0_03,
209,wide_resnet50_2_l2_eps0_03,3.0,0.68125,wide_resnet50_2_l2_eps0_03,
210,wide_resnet50_2_l2_eps0_03,1.5,0.30625,wide_resnet50_2_l2_eps0_03,
211,wide_resnet50_2_l2_eps0_03,1.0,0.1625,wide_resnet50_2_l2_eps0_03,
212,wide_resnet50_2_l2_eps0_03,0.7,0.11875,wide_resnet50_2_l2_eps0_03,
213,wide_resnet50_2_l2_eps0_03,0.55,0.0875,wide_resnet50_2_l2_eps0_03,
214,wide_resnet50_2_l2_eps0_03,0.45,0.075,wide_resnet50_2_l2_eps0_03,
215,wide_resnet50_2_l2_eps0_03,0.4,0.05625,wide_resnet50_2_l2_eps0_03,
216,wide_resnet50_2_l2_eps0_05,inf,0.9875,wide_resnet50_2_l2_eps0_05,
217,wide_resnet50_2_l2_eps0_05,3.0,0.6625,wide_resnet50_2_l2_eps0_05,
218,wide_resnet50_2_l2_eps0_05,1.5,0.33125,wide_resnet50_2_l2_eps0_05,
219,wide_resnet50_2_l2_eps0_05,1.0,0.19375,wide_resnet50_2_l2_eps0_05,
220,wide_resnet50_2_l2_eps0_05,0.7,0.15625,wide_resnet50_2_l2_eps0_05,
221,wide_resnet50_2_l2_eps0_05,0.55,0.0875,wide_resnet50_2_l2_eps0_05,
222,wide_resnet50_2_l2_eps0_05,0.45,0.06875,wide_resnet50_2_l2_eps0_05,
223,wide_resnet50_2_l2_eps0_05,0.4,0.075,wide_resnet50_2_l2_eps0_05,
224,wide_resnet50_2_l2_eps0_1,inf,1.0,wide_resnet50_2_l2_eps0_1,
225,wide_resnet50_2_l2_eps0_1,3.0,0.64375,wide_resnet50_2_l2_eps0_1,
226,wide_resnet50_2_l2_eps0_1,1.5,0.3,wide_resnet50_2_l2_eps0_1,
227,wide_resnet50_2_l2_eps0_1,1.0,0.14375,wide_resnet50_2_l2_eps0_1,
228,wide_resnet50_2_l2_eps0_1,0.7,0.04375,wide_resnet50_2_l2_eps0_1,
229,wide_resnet50_2_l2_eps0_1,0.55,0.075,wide_resnet50_2_l2_eps0_1,
230,wide_resnet50_2_l2_eps0_1,0.45,0.075,wide_resnet50_2_l2_eps0_1,
231,wide_resnet50_2_l2_eps0_1,0.4,0.06875,wide_resnet50_2_l2_eps0_1,
232,wide_resnet50_2_l2_eps0_25,inf,0.9875,wide_resnet50_2_l2_eps0_25,
233,wide_resnet50_2_l2_eps0_25,3.0,0.55,wide_resnet50_2_l2_eps0_25,
234,wide_resnet50_2_l2_eps0_25,1.5,0.25625,wide_resnet50_2_l2_eps0_25,
235,wide_resnet50_2_l2_eps0_25,1.0,0.18125,wide_resnet50_2_l2_eps0_25,
236,wide_resnet50_2_l2_eps0_25,0.7,0.075,wide_resnet50_2_l2_eps0_25,
237,wide_resnet50_2_l2_eps0_25,0.55,0.06875,wide_resnet50_2_l2_eps0_25,
238,wide_resnet50_2_l2_eps0_25,0.45,0.075,wide_resnet50_2_l2_eps0_25,
239,wide_resnet50_2_l2_eps0_25,0.4,0.03125,wide_resnet50_2_l2_eps0_25,
240,wide_resnet50_2_l2_eps0_5,inf,0.99375,wide_resnet50_2_l2_eps0_5,
241,wide_resnet50_2_l2_eps0_5,3.0,0.5375,wide_resnet50_2_l2_eps0_5,
242,wide_resnet50_2_l2_eps0_5,1.5,0.275,wide_resnet50_2_l2_eps0_5,
243,wide_resnet50_2_l2_eps0_5,1.0,0.20625,wide_resnet50_2_l2_eps0_5,
244,wide_resnet50_2_l2_eps0_5,0.7,0.11875,wide_resnet50_2_l2_eps0_5,
245,wide_resnet50_2_l2_eps0_5,0.55,0.09375,wide_resnet50_2_l2_eps0_5,
246,wide_resnet50_2_l2_eps0_5,0.45,0.0875,wide_resnet50_2_l2_eps0_5,
247,wide_resnet50_2_l2_eps0_5,0.4,0.06875,wide_resnet50_2_l2_eps0_5,
248,wide_resnet50_2_l2_eps1,inf,1.0,wide_resnet50_2_l2_eps1,
249,wide_resnet50_2_l2_eps1,3.0,0.4625,wide_resnet50_2_l2_eps1,
250,wide_resnet50_2_l2_eps1,1.5,0.29375,wide_resnet50_2_l2_eps1,
251,wide_resnet50_2_l2_eps1,1.0,0.20625,wide_resnet50_2_l2_eps1,
252,wide_resnet50_2_l2_eps1,0.7,0.14375,wide_resnet50_2_l2_eps1,
253,wide_resnet50_2_l2_eps1,0.55,0.11875,wide_resnet50_2_l2_eps1,
254,wide_resnet50_2_l2_eps1,0.45,0.10625,wide_resnet50_2_l2_eps1,
255,wide_resnet50_2_l2_eps1,0.4,0.0625,wide_resnet50_2_l2_eps1,
256,wide_resnet50_2_l2_eps3,inf,0.95625,wide_resnet50_2_l2_eps3,
257,wide_resnet50_2_l2_eps3,3.0,0.40625,wide_resnet50_2_l2_eps3,
258,wide_resnet50_2_l2_eps3,1.5,0.30625,wide_resnet50_2_l2_eps3,
259,wide_resnet50_2_l2_eps3,1.0,0.21875,wide_resnet50_2_l2_eps3,
260,wide_resnet50_2_l2_eps3,0.7,0.1375,wide_resnet50_2_l2_eps3,
261,wide_resnet50_2_l2_eps3,0.55,0.10625,wide_resnet50_2_l2_eps3,
262,wide_resnet50_2_l2_eps3,0.45,0.075,wide_resnet50_2_l2_eps3,
263,wide_resnet50_2_l2_eps3,0.4,0.0625,wide_resnet50_2_l2_eps3,
264,wide_resnet50_2_l2_eps5,inf,0.925,wide_resnet50_2_l2_eps5,
265,wide_resnet50_2_l2_eps5,3.0,0.39375,wide_resnet50_2_l2_eps5,
266,wide_resnet50_2_l2_eps5,1.5,0.25625,wide_resnet50_2_l2_eps5,
