,subj,condition,yvalue,decision-maker-ID,colour
0,Debenedetti2022Light_XCiT_S12,True,0.9785714285714285,Debenedetti2022Light_XCiT_S12,
1,Debenedetti2022Light_XCiT_S12,False,0.9589285714285715,Debenedetti2022Light_XCiT_S12,
2,Debenedetti2022Light_XCiT_M12,True,0.9821428571428571,Debenedetti2022Light_XCiT_M12,
3,Debenedetti2022Light_XCiT_M12,False,0.9571428571428572,Debenedetti2022Light_XCiT_M12,
4,Debenedetti2022Light_XCiT_L12,True,0.9964285714285714,Debenedetti2022Light_XCiT_L12,
5,Debenedetti2022Light_XCiT_L12,False,0.9767857142857143,Debenedetti2022Light_XCiT_L12,
6,xcit_small_12_p16_224,True,0.9910714285714286,xcit_small_12_p16_224,
7,xcit_small_12_p16_224,False,0.9839285714285714,xcit_small_12_p16_224,
8,resnet18_l2_eps0,True,0.9714285714285714,resnet18_l2_eps0,
9,resnet18_l2_eps0,False,0.8964285714285715,resnet18_l2_eps0,
10,resnet18_l2_eps0_01,True,0.9732142857142857,resnet18_l2_eps0_01,
11,resnet18_l2_eps0_01,False,0.8892857142857142,resnet18_l2_eps0_01,
12,resnet18_l2_eps0_03,True,0.9678571428571429,resnet18_l2_eps0_03,
13,resnet18_l2_eps0_03,False,0.9,resnet18_l2_eps0_03,
14,resnet18_l2_eps0_05,True,0.9714285714285714,resnet18_l2_eps0_05,
15,resnet18_l2_eps0_05,False,0.8892857142857142,resnet18_l2_eps0_05,
16,resnet18_l2_eps0_1,True,0.9696428571428571,resnet18_l2_eps0_1,
17,resnet18_l2_eps0_1,False,0.8982142857142857,resnet18_l2_eps0_1,
18,resnet18_l2_eps0_25,True,0.9642857142857143,resnet18_l2_eps0_25,
19,resnet18_l2_eps0_25,False,0.8875,resnet18_l2_eps0_25,
20,resnet18_l2_eps0_5,True,0.9660714285714286,resnet18_l2_eps0_5,
21,resnet18_l2_eps0_5,False,0.8553571428571428,resnet18_l2_eps0_5,
22,resnet18_l2_eps1,True,0.9571428571428572,resnet18_l2_eps1,
23,resnet18_l2_eps1,False,0.8446428571428571,resnet18_l2_eps1,
24,resnet18_l2_eps3,True,0.9125,resnet18_l2_eps3,
25,resnet18_l2_eps3,False,0.7928571428571428,resnet18_l2_eps3,
26,resnet18_l2_eps5,True,0.8857142857142857,resnet18_l2_eps5,
27,resnet18_l2_eps5,False,0.7232142857142857,resnet18_l2_eps5,
28,resnet50_l2_eps0,True,0.9821428571428571,resnet50_l2_eps0,
29,resnet50_l2_eps0,False,0.9303571428571429,resnet50_l2_eps0,
30,resnet50_l2_eps0_01,True,0.9839285714285714,resnet50_l2_eps0_01,
31,resnet50_l2_eps0_01,False,0.95,resnet50_l2_eps0_01,
32,resnet50_l2_eps0_03,True,0.9910714285714286,resnet50_l2_eps0_03,
33,resnet50_l2_eps0_03,False,0.9392857142857143,resnet50_l2_eps0_03,
34,resnet50_l2_eps0_05,True,0.9839285714285714,resnet50_l2_eps0_05,
35,resnet50_l2_eps0_05,False,0.9339285714285714,resnet50_l2_eps0_05,
36,resnet50_l2_eps0_1,True,0.9857142857142858,resnet50_l2_eps0_1,
37,resnet50_l2_eps0_1,False,0.9267857142857143,resnet50_l2_eps0_1,
38,resnet50_l2_eps0_25,True,0.9892857142857143,resnet50_l2_eps0_25,
39,resnet50_l2_eps0_25,False,0.9392857142857143,resnet50_l2_eps0_25,
40,resnet50_l2_eps0_5,True,0.9857142857142858,resnet50_l2_eps0_5,
41,resnet50_l2_eps0_5,False,0.9375,resnet50_l2_eps0_5,
42,resnet50_l2_eps1,True,0.9732142857142857,resnet50_l2_eps1,
43,resnet50_l2_eps1,False,0.8964285714285715,resnet50_l2_eps1,
44,resnet50_l2_eps3,True,0.9589285714285715,resnet50_l2_eps3,
45,resnet50_l2_eps3,False,0.8553571428571428,resnet50_l2_eps3,
46,resnet50_l2_eps5,True,0.9357142857142857,resnet50_l2_eps5,
47,resnet50_l2_eps5,False,0.8196428571428571,resnet50_l2_eps5,
48,wide_resnet50_2_l2_eps0,True,0.9910714285714286,wide_resnet50_2_l2_eps0,
49,wide_resnet50_2_l2_eps0,False,0.9535714285714286,wide_resnet50_2_l2_eps0,
50,wide_resnet50_2_l2_eps0_01,True,0.9928571428571429,wide_resnet50_2_l2_eps0_01,
51,wide_resnet50_2_l2_eps0_01,False,0.9589285714285715,wide_resnet50_2_l2_eps0_01,
52,wide_resnet50_2_l2_eps0_03,True,0.9964285714285714,wide_resnet50_2_l2_eps0_03,
53,wide_resnet50_2_l2_eps0_03,False,0.9535714285714286,wide_resnet50_2_l2_eps0_03,
54,wide_resnet50_2_l2_eps0_05,True,0.9964285714285714,wide_resnet50_2_l2_eps0_05,
55,wide_resnet50_2_l2_eps0_05,False,0.9642857142857143,wide_resnet50_2_l2_eps0_05,
56,wide_resnet50_2_l2_eps0_1,True,0.9964285714285714,wide_resnet50_2_l2_eps0_1,
57,wide_resnet50_2_l2_eps0_1,False,0.9625,wide_resnet50_2_l2_eps0_1,
58,wide_resnet50_2_l2_eps0_25,True,0.9964285714285714,wide_resnet50_2_l2_eps0_25,
59,wide_resnet50_2_l2_eps0_25,False,0.9428571428571428,wide_resnet50_2_l2_eps0_25,
60,wide_resnet50_2_l2_eps0_5,True,0.9910714285714286,wide_resnet50_2_l2_eps0_5,
61,wide_resnet50_2_l2_eps0_5,False,0.9428571428571428,wide_resnet50_2_l2_eps0_5,
62,wide_resnet50_2_l2_eps1,True,0.9928571428571429,wide_resnet50_2_l2_eps1,
